Runtime of the hanoi program for n going from 1 to 15

n = 1	Runtime = 6.28999259788543e-07
n = 2	Runtime = 4.829998943023384e-07
n = 3	Runtime = 1.5374000213341787e-05
n = 4	Runtime = 1.405001967214048e-06
n = 5	Runtime = 2.7089990908280015e-06
n = 6	Runtime = 1.8236001778859645e-05
n = 7	Runtime = 1.0279996786266565e-05
n = 8	Runtime = 2.0603998564183712e-05
n = 9	Runtime = 5.294500078889541e-05
n = 10	Runtime = 8.028899901546538e-05
n = 11	Runtime = 0.00015953600086504593
n = 12	Runtime = 0.0003467290007392876
n = 13	Runtime = 0.0007137319989851676
n = 14	Runtime = 0.001589825998962624
n = 15	Runtime = 0.0031075359984242823


Total runtime of the test session is 0.006161448000057135 seconds
